Player,MP,FG,FGA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,Pos,height in inches,weight,3Pper min,FTper min,TRBper min,ASTper min,STLper min,BLKper min,TOVper min,PTSper min,3P per min,FT per min,TRB per min,AST per min,STL per min,BLK per min,TOV per min,PTS per min,FG%,3P%,FT%
Bernard Robinson,2187.0,231.0,570.0,5.0,33.0,170.0,214.0,363.0,145.0,126.0,18.0,126.0,637.0,SG,78,210.0,0.002286236854138089,0.07773205304069501,0.16598079561042525,0.06630086877000457,0.05761316872427984,0.00823045267489712,0.05761316872427984,0.2912665752171925,0.002286236854138089,0.07773205304069501,0.16598079561042525,0.06630086877000457,0.05761316872427984,0.00823045267489712,0.05761316872427984,0.2912665752171925,0.4052631578947368,0.15151515151515152,0.794392523364486
Bernard Thompson,2935.0,410.0,934.0,0.0,17.0,258.0,327.0,352.0,266.0,127.0,27.0,181.0,1078.0,SF,78,210.0,0.0,0.0879045996592845,0.11993185689948893,0.09063032367972743,0.043270868824531517,0.009199318568994889,0.06166950596252129,0.3672913117546848,0.0,0.0879045996592845,0.11993185689948893,0.09063032367972743,0.043270868824531517,0.009199318568994889,0.06166950596252129,0.3672913117546848,0.43897216274089934,0.0,0.7889908256880734
Bernard Toone,124.0,23.0,64.0,1.0,7.0,8.0,10.0,34.0,12.0,4.0,5.0,16.0,55.0,PF,81,210.0,0.008064516129032258,0.06451612903225806,0.27419354838709675,0.0967741935483871,0.03225806451612903,0.04032258064516129,0.12903225806451613,0.4435483870967742,0.008064516129032258,0.06451612903225806,0.27419354838709675,0.0967741935483871,0.03225806451612903,0.04032258064516129,0.12903225806451613,0.4435483870967742,0.359375,0.14285714285714285,0.8
Bill Cartwright,27491.0,4656.0,8868.0,0.0,2.0,3401.0,4412.0,6106.0,1390.0,460.0,668.0,1892.0,12713.0,C,85,245.0,0.0,0.1237132152340766,0.22210905387217636,0.05056200210978138,0.016732748899639882,0.024298861445564004,0.06882252373504055,0.4624422538285257,0.0,0.1237132152340766,0.22210905387217636,0.05056200210978138,0.016732748899639882,0.024298861445564004,0.06882252373504055,0.4624422538285257,0.5250338294993234,0.0,0.7708522212148685
Bill Curley,2115.0,211.0,469.0,3.0,12.0,108.0,149.0,377.0,77.0,81.0,57.0,112.0,533.0,PF,81,220.0,0.0014184397163120568,0.05106382978723404,0.17825059101654847,0.03640661938534279,0.03829787234042553,0.02695035460992908,0.052955082742316785,0.2520094562647754,0.0014184397163120568,0.05106382978723404,0.17825059101654847,0.03640661938534279,0.03829787234042553,0.02695035460992908,0.052955082742316785,0.2520094562647754,0.44989339019189767,0.25,0.7248322147651006
Bill Garnett,5260.0,572.0,1167.0,0.0,9.0,494.0,686.0,1298.0,393.0,159.0,173.0,332.0,1638.0,PF,81,225.0,0.0,0.09391634980988593,0.2467680608365019,0.07471482889733841,0.03022813688212928,0.032889733840304185,0.06311787072243347,0.31140684410646385,0.0,0.09391634980988593,0.2467680608365019,0.07471482889733841,0.03022813688212928,0.032889733840304185,0.06311787072243347,0.31140684410646385,0.49014567266495285,0.0,0.7201166180758017
Bill Hanzlik,15534.0,1836.0,4232.0,46.0,216.0,1696.0,2171.0,2058.0,2058.0,727.0,205.0,1090.0,5414.0,SF,79,185.0,0.0029612462984421268,0.10917986352517059,0.1324835843955195,0.1324835843955195,0.046800566499291874,0.01319685850392687,0.07016866228917214,0.34852581434273205,0.0029612462984421268,0.10917986352517059,0.1324835843955195,0.1324835843955195,0.046800566499291874,0.01319685850392687,0.07016866228917214,0.34852581434273205,0.43383742911153117,0.21296296296296297,0.7812068171349609
Bill Jones,307.0,50.0,102.0,0.0,1.0,29.0,43.0,47.0,20.0,17.0,6.0,18.0,129.0,PF,79,175.0,0.0,0.09446254071661238,0.15309446254071662,0.06514657980456026,0.05537459283387622,0.019543973941368076,0.05863192182410423,0.4201954397394137,0.0,0.09446254071661238,0.15309446254071662,0.06514657980456026,0.05537459283387622,0.019543973941368076,0.05863192182410423,0.4201954397394137,0.49019607843137253,0.0,0.6744186046511628
Bill Laimbeer,35785.0,5839.0,11734.0,206.0,632.0,2624.0,3148.0,11017.0,2284.0,749.0,1029.0,1715.0,14508.0,C,83,245.0,0.0057566019281822,0.07332681291043733,0.30786642447953055,0.06382562526198128,0.020930557496157607,0.028755064971356714,0.04792510828559452,0.40542126589353084,0.0057566019281822,0.07332681291043733,0.30786642447953055,0.06382562526198128,0.020930557496157607,0.028755064971356714,0.04792510828559452,0.40542126589353084,0.49761377194477585,0.3259493670886076,0.8335451080050826
Bill Martin,860.0,168.0,374.0,0.0,9.0,61.0,75.0,136.0,58.0,30.0,9.0,74.0,397.0,SF,79,205.0,0.0,0.07093023255813953,0.15813953488372093,0.06744186046511629,0.03488372093023256,0.010465116279069767,0.08604651162790698,0.46162790697674416,0.0,0.07093023255813953,0.15813953488372093,0.06744186046511629,0.03488372093023256,0.010465116279069767,0.08604651162790698,0.46162790697674416,0.44919786096256686,0.0,0.8133333333333334
